artist_id,artist_date_created,artist_favorites,artist_latitude,artist_location,artist_longitude,artist_name
1,11/26/2008 01:42:32 AM,9,40.0583238,New Jersey,-74.4056612,AWOL
10,11/26/2008 01:43:35 AM,111,34.0522342,"Los Angeles, CA",-118.2436849,Lucky Dragons
100,11/26/2008 02:05:22 AM,8,41.8781136,"Chicago, IL",-87.6297982,Chandeliers
1000,12-04-2008 09:24,0,41.87194,NA,12.56738,Marzipan Marzipan
10000,1/21/2011 02:11:31 PM,1,NA,NA,NA,"Jack Hertz, PHOBoS, Blue Hell"
10001,1/22/2011 10:04:27 AM,13,39.214525,Cagliari/Italy,9.110492,Nick Rivera
10002,1/22/2011 12:10:00 PM,2,NA,NA,NA,Carlos Ramirez
10003,1/22/2011 12:11:35 PM,2,40.79373,"State College, PA",-77.860704,Evening Fires
10004,1/22/2011 01:44:29 PM,2,NA,NA,NA,Tabla y Cuchillo
10005,1/22/2011 07:48:18 PM,8,-27.46888,"Brisbane, Australia",153.022827,Blank Realm
10010,1/23/2011 10:47:00 AM,0,NA,NA,NA,Jason Kaneshiro
10011,1/23/2011 11:36:56 AM,2,NA,NA,NA,Koobaatoo Asparagus
10012,1/23/2011 01:18:37 PM,107,40.630985,"Bethlehem, Pennsylvania U.S.A.",-75.377784,Jared C. Balogh
10013,1/23/2011 09:04:45 PM,4,NA,NA,NA,Silent Strangers
10014,1/23/2011 09:58:40 PM,0,40.71455,New York & Tokyo,-74.007118,Chuck Bettis & Toshio Kajiwara
10015,1/24/2011 12:27:25 PM,11,40.692455,"Brooklyn, NY",-73.990364,Andy & Zeus
10016,1/24/2011 12:31:56 PM,18,39.290585,"Baltimore, MD",-76.609264,Ami Dang
10017,1/24/2011 02:07:21 PM,3,64.574045,Norway,17.800665,Mind Over Midi
10018,1/24/2011 03:07:52 PM,10,55.59664,"Malmö, Sweden",13.00156,stockfinster.
10019,1/24/2011 07:04:12 PM,42,36.063205,"Fayetteville, AR 72701",-94.157914,voyageurs
10020,1/24/2011 08:10:57 PM,8,NA,NA,NA,Delicate Steve
